nperseg,noverlap,overlap_fraction,window_ms,n_recordings,n_power_ratio,n_crackle_recordings,n_wheeze_recordings,cycle_gap_power_ratio_db,cycle_gap_power_ratio_db_min,cycle_correlation,cycle_correlation_p10,cycle_correlation_min,crackle_correlation,crackle_correlation_p10,crackle_correlation_min,wheeze_correlation,wheeze_correlation_p10,wheeze_correlation_min,musical_noise_ratio,musical_noise_ratio_p90,musical_noise_ratio_max,spectral_distortion_db,spectral_distortion_db_p90,snr_proxy_delta_db
128,64,0.5,32.0,117,103,73,19,1.9630286577052356,-7.176971626497396,0.9976347885422,0.9963825488614113,0.96073687123619,0.9979590680198519,0.9964953433829317,0.9881360444570342,0.9967198441268458,0.9959316088228638,0.9775488493923573,1.0758055599905427,1.1330309627660409,1.751071591686697,3.3318727651538063,3.6417915832883594,1.5084220167007627
128,96,0.75,32.0,117,103,73,19,1.9652156529323495,-7.186853378041337,0.998152206710149,0.9973917493957901,0.9631670420297879,0.9984452676959945,0.9974454272115572,0.9896684008474875,0.9973176845374769,0.9969617566679385,0.9787381083597779,1.0772034789241398,1.129273114991041,1.7697546007803717,2.471763008452747,2.883141334553787,1.5783445258605135
256,128,0.5,64.0,117,103,73,19,1.981890300408835,-7.1995384441095,0.997407229801425,0.996293267911406,0.9448532315873369,0.9978616889875835,0.9964379359242934,0.9859383113653055,0.9963619433977179,0.9961878024217955,0.9691848078740282,1.0781077095284683,1.136299455926618,1.9363605255421812,3.341784226817567,3.6894543617291733,1.5347032957052726
256,192,0.75,64.0,117,103,73,19,1.9835141138896968,-7.197554281489121,0.9980057776968697,0.997509295813787,0.9488750917644523,0.9984488564230372,0.997584219617231,0.9890604170622106,0.9970101136279603,0.9971813888383253,0.97109897970347,1.0772772584042842,1.1316687325862715,1.930924597461336,2.4892363102661537,2.9610688455920045,1.6386963246087753
512,256,0.5,128.0,117,103,73,19,2.010738045649964,-7.2115289251346715,0.9970008237774937,0.9961798083341513,0.9287289024846157,0.997691533981732,0.9962990644213765,0.9835833188715006,0.9956636424908327,0.9949390778261886,0.9609491073746386,1.079776429770505,1.131123281310382,2.045940152875734,3.529249569007023,3.8452574824956853,1.4740013016283602
512,384,0.75,128.0,117,103,73,19,2.0061759168968822,-7.217055292567071,0.9976319761294905,0.9972794196555321,0.9324122922470599,0.9982904155107406,0.9973125359910804,0.9869048787694792,0.9963567143582117,0.9963110759218394,0.9626037684965251,1.0793113176940599,1.1253007514194693,2.0670894833381355,2.574732558133096,2.9769493864944345,1.7205903869203745
