stage,noise_pct,oversubtraction,spectral_floor,n_recordings,n_snr,n_crackle_recordings,n_wheeze_recordings,cycle_gap_snr_proxy_db,cycle_gap_snr_proxy_db_min,cycle_correlation,cycle_correlation_p10,cycle_correlation_min,crackle_correlation,crackle_correlation_p10,crackle_correlation_min,wheeze_correlation,wheeze_correlation_p10,wheeze_correlation_min,musical_noise_ratio,musical_noise_ratio_p90,musical_noise_ratio_max,spectral_distortion_db,spectral_distortion_db_p90,snr_proxy_delta_db,cumple_restricciones
agresividad,5,0.5,0.01,117,103,73,19,1.8338641538755103,-7.055687657524845,0.9998919006361036,0.9998587447548664,0.9974668744889754,0.999915798637417,0.9998616848406137,0.9994781569256614,0.9998283077274995,0.9998297735265811,0.9982748509378787,1.0122935682607843,1.0189756680872697,1.1914079235737303,1.3423076058463066,1.6388945404762423,0.21966027574919167,True
agresividad,5,1.0,0.01,117,103,73,19,1.8709157675992951,-7.087698190073199,0.9995512647510603,0.999482781587761,0.9857332787548926,0.9996875751756554,0.9994773362862921,0.9979808060986832,0.9992237116868496,0.9993713941850114,0.9908371418735993,1.0255687632662183,1.0386160201809316,1.4529314393341088,1.9140786784965858,2.2397286153526217,0.45038816978610713,True
agresividad,5,1.5,0.01,117,103,73,19,1.912294702982991,-7.119238577537965,0.9989446788533419,0.9989264733476368,0.9574446785611223,0.9993505526146126,0.9989010068658374,0.9955284566213555,0.9981070305055803,0.9987352571693909,0.9754239889161725,1.03970038547262,1.0588656170138742,1.7876333885753954,2.3650144281077705,2.673720493243889,0.6961424275702256,True
agresividad,5,2.0,0.01,117,103,73,19,1.9531391299108647,-7.150300706027641,0.9981204217519957,0.9982071657371812,0.9169836874669812,0.9989140541999407,0.9981545287721075,0.9917593100294612,0.9966556761494366,0.9979115580107888,0.955158005924485,1.053941788475517,1.0794206415727912,2.1129087443666283,2.7647391978069105,3.0555868059763975,0.9385041240141244,True
agresividad,5,3.0,0.01,117,103,73,19,2.019837371404985,-7.210776012047445,0.9964749556144136,0.9963818042666086,0.868033797589403,0.9977758462180035,0.9962695396164227,0.980454178147065,0.9943496248692607,0.9957977579029791,0.9302941982889231,1.0800275857401649,1.1220198096092375,2.43819889512567,3.476099898220659,3.812514814464374,1.399872340977776,True
agresividad,5,4.0,0.01,117,103,73,19,2.079053845139304,-7.270026253048178,0.9948751895969188,0.9939257117611444,0.8538033380678288,0.9963357613587327,0.9940024643993965,0.9631395953269378,0.9927539503814631,0.9931507658444391,0.9230756201317338,1.1045228643443183,1.165978090216267,2.5541756107090317,4.094830015881592,4.494900774086703,1.8450109298823634,True
agresividad,5,4.5,0.01,117,103,73,19,2.1058296393885776,-7.298822255379813,0.9940355882440137,0.9925891708144022,0.8506919439431774,0.9955214743617313,0.9926484660955606,0.9526809247526853,0.9919932356788294,0.9915807349899916,0.9214407125721391,1.1165925477865046,1.1884890095438498,2.5876725752534027,4.382252692175983,4.796455844001905,2.059745611346206,True
agresividad,5,5.0,0.01,117,103,73,19,2.13117165803124,-7.327173193589163,0.9931681598837024,0.9911694496370869,0.8479104619461144,0.9946673705181558,0.9911499750584184,0.9419262122713067,0.9911972898932536,0.9898931618864991,0.9200207775796232,1.1285762881318735,1.2113768036956793,2.616753252905039,4.6565050066590965,5.073304608473099,2.272318877784816,True
agresividad,10,0.5,0.01,117,103,73,19,1.8659812059538425,-7.087695074473924,0.9996406330310248,0.9994606840029443,0.9958673973228327,0.9996802956947505,0.9994736058509469,0.9982844389093692,0.9995243527732085,0.9992572779090673,0.9972243620312213,1.0247992103466441,1.0411756680602666,1.2488202607848229,1.9101337356928194,2.22338085022741,0.4718614710787616,True
agresividad,10,1.0,0.01,117,103,73,19,1.9361980204739426,-7.150640275721449,0.9986258256565721,0.9981370571023129,0.9750860227335748,0.998871320312673,0.9981485713781446,0.9930993058241355,0.9980583638930205,0.9974988918590135,0.9847268943199523,1.0516592594142231,1.085650690529042,1.6108346484806277,2.7938037706067145,3.0637746972470206,0.9742892383493981,True
agresividad,10,1.5,0.01,117,103,73,19,2.010738045649964,-7.2115289251346715,0.9970008237774937,0.9961798083341513,0.9287289024846157,0.997691533981732,0.9962990644213765,0.9835833188715006,0.9956636424908327,0.9949390778261886,0.9609491073746386,1.079776429770505,1.131123281310382,2.045940152875734,3.529249569007023,3.8452574824956853,1.4740013016283602,True
agresividad,10,2.0,0.01,117,103,73,19,2.0766485965061254,-7.270772182097991,0.9950878867643496,0.9936713282424714,0.8855591373340305,0.9962050790680911,0.993943596900351,0.9687881332856538,0.9931587319864424,0.9917510026128314,0.9398398766401109,1.1072013105361027,1.178485724144942,2.3499438435301507,4.181020605466591,4.571251310134743,1.9363309947515563,True
agresividad,10,3.0,0.01,117,103,73,19,2.1913672535660127,-7.382973086845595,0.9911606168406252,0.9873683892220714,0.8534013933572676,0.9925869699592077,0.9881828832820976,0.930177823546482,0.9889023656612159,0.9843323180136606,0.9229288103199528,1.1590696758407606,1.2759727263898506,2.5855925800918005,5.321841109812058,5.792533671228717,2.8497234665043245,True
agresividad,10,4.0,0.01,117,103,73,19,2.289609106829087,-7.490638732976671,0.9871043196252963,0.980263277031366,0.8451866104110483,0.9886250763002442,0.9814160887452537,0.8986935545522329,0.9847488114050872,0.9755853827473814,0.9186209241102916,1.2091773949586293,1.3772356041202216,2.6750064199963624,6.3163075331928935,6.919470107651438,3.7694926819367587,True
agresividad,10,4.5,0.01,117,103,73,19,2.3339015648238437,-7.541817303986518,0.9850338999053053,0.9761222193657818,0.8430697480579469,0.986598669992715,0.9777679875364825,0.8878576079785407,0.9826470989264586,0.970955569023042,0.9171932485220884,1.2339642265578665,1.4297139411078443,2.7043694056583165,6.773547473902217,7.38303600160901,4.208418896360255,True
agresividad,10,5.0,0.01,117,103,73,19,2.377215924222434,-7.592719070617545,0.9829299728818204,0.9722585186934585,0.841273873645351,0.9845379730915984,0.9736528830834769,0.8778884822630263,0.9805139308672747,0.9665378411878879,0.9159287940828804,1.2586129666081294,1.4712448068492572,2.730101096001283,7.207325169240178,7.809944854937366,4.6304446810450886,True
